"type","title","public_url","admin_url","status","date","group","detail","your_notes"
"Page","About VERIFY","/about","/admin/collections/pages/4","Published","2026-08-20","/","pageHero hero · 7 blocks · depth 0",""
"Page","Administrative Services","/services/medico-legal/admin-services","/admin/collections/pages/12","Published","2026-08-20","/services/medico-legal","pageHero hero · 4 blocks · depth 2",""
"Page","Contact Us","/contact","/admin/collections/pages/2","Published","2026-08-20","/","pageHero hero · 13 blocks · depth 0",""
"Page","Educational Services","/services/educational-services","/admin/collections/pages/7","Published","2026-08-20","/services","pageHero hero · 2 blocks · depth 1",""
"Page","Events & Seminars","/events","/admin/collections/pages/22","Published","2026-08-20","/","pageHero hero · 2 blocks · depth 0",""
"Page","For Claimants","/information-centre/for-claimants","/admin/collections/pages/20","Published","2026-08-20","/information-centre","pageHero hero · 11 blocks · depth 1",""
"Page","For Clients","/information-centre/for-clients","/admin/collections/pages/19","Published","2026-08-20","/information-centre","pageHero hero · 12 blocks · depth 1",""
"Page","Home","/","/admin/collections/pages/1","Published","2026-08-20","","homeHero hero · 20 blocks · depth 0",""
"Page","In the Loop","/in-the-loop","/admin/collections/pages/21","Published","2026-08-20","/","pageHero hero · 10 blocks · depth 0",""
"Page","Independent Medical Examination (IME)","/services/medico-legal/ime","/admin/collections/pages/9","Published","2026-08-20","/services/medico-legal","pageHero hero · 6 blocks · depth 2",""
"Page","Information Centre","/information-centre","/admin/collections/pages/18","Published","2026-08-20","/","pageHero hero · 2 blocks · depth 0",""
"Page","Join Expert Panel","/specialists/join-expert-panel","/admin/collections/pages/17","Published","2026-08-20","/specialists","pageHero hero · 8 blocks · depth 1",""
"Page","Joint Medical Examination (JME)","/services/medico-legal/jme","/admin/collections/pages/10","Published","2026-08-20","/services/medico-legal","pageHero hero · 7 blocks · depth 2",""
"Page","Make a Booking","/make-a-booking","/admin/collections/pages/3","Published","2026-08-20","/","pageHero hero · 3 blocks · depth 0",""
"Page","Medico-Legal Services","/services/medico-legal","/admin/collections/pages/8","Published","2026-08-20","/services","pageHero hero · 3 blocks · depth 1",""
"Page","Meet the Team","/about/meet-the-team","/admin/collections/pages/5","Published","2026-08-20","/about","pageHero hero · 2 blocks · depth 1",""
"Page","Other Reporting Services","/services/medico-legal/reporting-services","/admin/collections/pages/11","Published","2026-08-20","/services/medico-legal","pageHero hero · 2 blocks · depth 2",""
