"priority","area","document","public_url","admin_url","slot","what_it_is","field_status","renders_today","current_file","if_left_empty","supply_via","your_file_or_notes"
"1 — placeholder or fallback showing","Brand","Site Settings","site-wide","/admin/globals/site-settings","logo","Brand asset","SET","Yes — uploaded image","verify-logo.png","","Upload in the admin",""
"1 — placeholder or fallback showing","Brand","Site Settings","site-wide","/admin/globals/site-settings","shield","Brand asset","EMPTY","Yes — built-in fallback file","","Bundled shield PNG — 1166px wide, unoptimisable (OUTSTANDING §12)","Upload in the admin",""
"1 — placeholder or fallback showing","Content","Service: Brief Reduction & LOI Review Service","/services","/admin/collections/services/8","photo","services · Brief Reduction & LOI Review Service","EMPTY","Yes — placeholder box","","Blue gradient tile with the service icon and ""Image Placeholder""","Upload in the admin",""
"1 — placeholder or fallback showing","Content","Service: Brief Reduction Service","/services","/admin/collections/services/13","photo","services · Brief Reduction Service","EMPTY","Yes — placeholder box","","Blue gradient tile with the service icon and ""Image Placeholder""","Upload in the admin",""
"1 — placeholder or fallback showing","Content","Service: Educational Services / AAMLE","/services","/admin/collections/services/9","photo","services · Educational Services / AAMLE","EMPTY","Yes — placeholder box","","Blue gradient tile with the service icon and ""Image Placeholder""","Upload in the admin",""
"1 — placeholder or fallback showing","Content","Service: Expert Evidence","/services","/admin/collections/services/10","photo","services · Expert Evidence","EMPTY","Yes — placeholder box","","Blue gradient tile with the service icon and ""Image Placeholder""","Upload in the admin",""
"1 — placeholder or fallback showing","Content","Service: File Review","/services","/admin/collections/services/3","photo","services · File Review","EMPTY","Yes — placeholder box","","Blue gradient tile with the service icon and ""Image Placeholder""","Upload in the admin",""
"1 — placeholder or fallback showing","Content","Service: Independent Medical Examination (IME)","/services","/admin/collections/services/1","photo","services · Independent Medical Examination (IME)","EMPTY","Yes — placeholder box","","Blue gradient tile with the service icon and ""Image Placeholder""","Upload in the admin",""
"1 — placeholder or fallback showing","Content","Service: Interpreter Booking Service","/services","/admin/collections/services/12","photo","services · Interpreter Booking Service","EMPTY","Yes — placeholder box","","Blue gradient tile with the service icon and ""Image Placeholder""","Upload in the admin",""
"1 — placeholder or fallback showing","Content","Service: Joint Medical Examination (JME)","/services","/admin/collections/services/2","photo","services · Joint Medical Examination (JME)","EMPTY","Yes — placeholder box","","Blue gradient tile with the service icon and ""Image Placeholder""","Upload in the admin",""
"1 — placeholder or fallback showing","Content","Service: Letter of Instruction Review","/services","/admin/collections/services/14","photo","services · Letter of Instruction Review","EMPTY","Yes — placeholder box","","Blue gradient tile with the service icon and ""Image Placeholder""","Upload in the admin",""
"1 — placeholder or fallback showing","Content","Service: Medical Negligence","/services","/admin/collections/services/5","photo","services · Medical Negligence","EMPTY","Yes — placeholder box","","Blue gradient tile with the service icon and ""Image Placeholder""","Upload in the admin",""
"1 — placeholder or fallback showing","Content","Service: Supplementary Report","/services","/admin/collections/services/4","photo","services · Supplementary Report","EMPTY","Yes — placeholder box","","Blue gradient tile with the service icon and ""Image Placeholder""","Upload in the admin",""
"1 — placeholder or fallback showing","Content","Service: Surrogate Assessment & Interpreter Booking Service","/services","/admin/collections/services/7","photo","services · Surrogate Assessment & Interpreter Booking Service","EMPTY","Yes — placeholder box","","Blue gradient tile with the service icon and ""Image Placeholder""","Upload in the admin",""
"1 — placeholder or fallback showing","Content","Service: Surrogate Assessment Service","/services","/admin/collections/services/11","photo","services · Surrogate Assessment Service","EMPTY","Yes — placeholder box","","Blue gradient tile with the service icon and ""Image Placeholder""","Upload in the admin",""
"1 — placeholder or fallback showing","Content","Service: Teleconference","/services","/admin/collections/services/6","photo","services · Teleconference","EMPTY","Yes — placeholder box","","Blue gradient tile with the service icon and ""Image Placeholder""","Upload in the admin",""
"1 — placeholder or fallback showing","Page","Page: About VERIFY","/about","/admin/collections/pages/4","layout[0].rows[0].image","splitFeature · About VERIFY · Medico-Legal Solutions Built on [[Trust & Precision]] · COMPANY PHOTO PLACEHOLDER","SET","Yes — uploaded image","about-verify.jpg","","Upload in the admin",""
"1 — placeholder or fallback showing","Page","Page: About VERIFY","/about","/admin/collections/pages/4","layout[2].rows[0].image","splitFeature · Our Vision · Queensland's Leading [[Medico-Legal Reporting Company]] · Vision Photo Placeholder","SET","Yes — uploaded image","our-vision.jpg","","Upload in the admin",""
"1 — placeholder or fallback showing","Page","Page: About VERIFY","/about","/admin/collections/pages/4","layout[4].image","whyVerify · Why Choose VERIFY · What Sets Us [[Apart]] · [ Company Image Placeholder ]","SET","Yes — uploaded image","why-choose-verify.jpg","","Upload in the admin",""
"1 — placeholder or fallback showing","Page","Page: About VERIFY","/about","/admin/collections/pages/4","layout[5].photo","leadershipSpotlight · Meet Our Founder · Built by Someone Who [[Lived the Problem]] · Wes Lerch","SET","Yes — uploaded image","wes-founder.jpg","","Upload in the admin",""
"1 — placeholder or fallback showing","Page","Page: Administrative Services","/services/medico-legal/admin-services","/admin/collections/pages/12","layout[0].rows[0].image","splitFeature · Why Administrative Services Matter · The Detail Work, [[Handled for You]] · Image Placeholder","SET","Yes — uploaded image","administrative-services.jpg","","Upload in the admin",""
"1 — placeholder or fallback showing","Page","Page: Educational Services","/services/educational-services","/admin/collections/pages/7","layout[0].image","aamleEducation · Educational Services · Image Placeholder","EMPTY","Yes — placeholder box","","Pale-blue placeholder tile is on screen now","Upload in the admin",""
"1 — placeholder or fallback showing","Page","Page: For Claimants","/information-centre/for-claimants","/admin/collections/pages/20","layout[0].image","processSteps · Process Overview · Your Examination [[Step by Step]] · IMAGE PLACEHOLDER","SET","Yes — uploaded image","your-examination-step-by-step.jpg","","Upload in the admin",""
"1 — placeholder or fallback showing","Page","Page: For Clients","/information-centre/for-clients","/admin/collections/pages/19","layout[0].content[0].rows[0].image","splitFeature · How We Support You · Practical medico-legal support from referral to [[report delivery]] · Image Placeholder","SET","Yes — uploaded image","info-for-clients.jpg","","Upload in the admin",""
"1 — placeholder or fallback showing","Page","Page: Home","/","/admin/collections/pages/1","layout[1].rows[0].image","splitFeature · Who We Are · VERIFY [[Medico-Legal]] Solutions · [ Company Image Placeholder ]","SET","Yes — uploaded image","who-we-are.jpg","","Upload in the admin",""
"1 — placeholder or fallback showing","Page","Page: Independent Medical Examination (IME)","/services/medico-legal/ime","/admin/collections/pages/9","layout[0].rows[0].image","splitFeature · What is an IME? · An Expert Medical Opinion, [[Independent of All Parties]] · Image Placeholder","EMPTY","Yes — placeholder box","","Pale-blue placeholder tile is on screen now","Upload in the admin",""
"1 — placeholder or fallback showing","Page","Page: Join Expert Panel","/specialists/join-expert-panel","/admin/collections/pages/17","layout[0].rows[0].image","splitFeature · About Our Panel · A Specialist Partnership Built on [[Quality & Integrity]] · Image Placeholder","EMPTY","Yes — placeholder box","","Pale-blue placeholder tile is on screen now","Upload in the admin",""
"1 — placeholder or fallback showing","Page","Page: Joint Medical Examination (JME)","/services/medico-legal/jme","/admin/collections/pages/10","layout[0].rows[0].image","splitFeature · What is a JME? · One Specialist. [[Jointly Instructed by Both Parties.]] · Image Placeholder","EMPTY","Yes — placeholder box","","Pale-blue placeholder tile is on screen now","Upload in the admin",""
"1 — placeholder or fallback showing","Page","Page: Medico-Legal Services","/services/medico-legal","/admin/collections/pages/8","layout[0].rows[0].image","splitFeature · Overview · Everything a Matter Needs, [[Under One Roof]] · Image Placeholder","EMPTY","Yes — placeholder box","","Pale-blue placeholder tile is on screen now","Upload in the admin",""
"1 — placeholder or fallback showing","Page","Page: Other Reporting Services","/services/medico-legal/reporting-services","/admin/collections/pages/11","layout[0].rows[0].image","splitFeature · File Review · Image Placeholder","EMPTY","Yes — placeholder box","","Pale-blue placeholder tile is on screen now","Upload in the admin",""
"1 — placeholder or fallback showing","Page","Page: Other Reporting Services","/services/medico-legal/reporting-services","/admin/collections/pages/11","layout[0].rows[1].image","splitFeature · Supplementary Report · Image Placeholder","EMPTY","Yes — placeholder box","","Pale-blue placeholder tile is on screen now","Upload in the admin",""
"1 — placeholder or fallback showing","Page","Page: Other Reporting Services","/services/medico-legal/reporting-services","/admin/collections/pages/11","layout[0].rows[2].image","splitFeature · Teleconference · Image Placeholder","EMPTY","Yes — placeholder box","","Pale-blue placeholder tile is on screen now","Upload in the admin",""
"1 — placeholder or fallback showing","Page","Page: Other Reporting Services","/services/medico-legal/reporting-services","/admin/collections/pages/11","layout[0].rows[3].image","splitFeature · Expert Evidence · Image Placeholder","EMPTY","Yes — placeholder box","","Pale-blue placeholder tile is on screen now","Upload in the admin",""
"1 — placeholder or fallback showing","Page","Page: Services","/services","/admin/collections/pages/6","layout[0].rows[0].image","splitFeature · Independent Medical Examinations · Image Placeholder","EMPTY","Yes — placeholder box","","Pale-blue placeholder tile is on screen now","Upload in the admin",""
"1 — placeholder or fallback showing","Page","Page: Services","/services","/admin/collections/pages/6","layout[0].rows[1].image","splitFeature · Joint Medical Examinations · Image Placeholder","EMPTY","Yes — placeholder box","","Pale-blue placeholder tile is on screen now","Upload in the admin",""
"1 — placeholder or fallback showing","Page","Page: Services","/services","/admin/collections/pages/6","layout[3].image","aamleEducation · Educational Services · Image Placeholder","EMPTY","Yes — placeholder box","","Pale-blue placeholder tile is on screen now","Upload in the admin",""
"2 — renders without it","Brand","Site Settings","site-wide","/admin/globals/site-settings","favicon","Brand asset","SET","Yes — uploaded image","verify-favicon.png","","Upload in the admin",""
"2 — renders without it","Brand","Site Settings","site-wide","/admin/globals/site-settings","socialImage","Brand asset","SET","Yes — uploaded image","social-share.png","","Upload in the admin",""
